PropName,BladeName,Family,B,D,P,J,N,CT,CP,eta
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.473309,4991.0,-0.01349,0.010044,-0.635674
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.524643,4991.0,-0.026185,0.007347,-1.869987
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.527744,4991.0,-0.02646,0.00747,-1.869459
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.527744,4991.0,-0.02646,0.00747,-1.869459
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.527744,4991.0,-0.02646,0.00747,-1.869459
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.527744,4991.0,-0.02646,0.00747,-1.869459
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.527744,4991.0,-0.02646,0.00747,-1.869459
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.527744,4991.0,-0.02646,0.00747,-1.869459
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.527744,4991.0,-0.02646,0.00747,-1.869459
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.527744,4991.0,-0.02646,0.00747,-1.869459
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.527744,4991.0,-0.02646,0.00747,-1.869459
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.527744,4991.0,-0.02646,0.00747,-1.869459
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.072687,7042.0,0.054713,0.020826,0.190963
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.110384,7042.0,0.050804,0.02038,0.275169
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.14899,7042.0,0.046301,0.019682,0.350493
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.183163,7042.0,0.041018,0.01866,0.402613
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.222752,7042.0,0.035338,0.017821,0.441709
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.258626,7042.0,0.028885,0.016654,0.448559
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.297085,7042.0,0.022502,0.015709,0.425553
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.333823,7042.0,0.015159,0.014445,0.350325
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.371347,7042.0,0.007493,0.013386,0.207849
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.408092,7042.0,-0.000645,0.01206,-0.021851
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.444984,7042.0,-0.009436,0.01053,-0.398795
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.486739,7042.0,-0.019574,0.00872,-1.092687
