BladeName,Family,D,P,c/R,r/R,beta
da4052 5.0x3.75,da4052,5.0,3.75,0.3422,0.45,27.979
da4052 5.0x3.75,da4052,5.0,3.75,0.3208,0.5,26.144
da4052 5.0x3.75,da4052,5.0,3.75,0.292,0.55,24.601
da4052 5.0x3.75,da4052,5.0,3.75,0.2604,0.6,23.183
da4052 5.0x3.75,da4052,5.0,3.75,0.2318,0.65,21.909
da4052 5.0x3.75,da4052,5.0,3.75,0.2068,0.7,20.912
da4052 5.0x3.75,da4052,5.0,3.75,0.1833,0.75,20.115
da4052 5.0x3.75,da4052,5.0,3.75,0.1586,0.8,19.45
da4052 5.0x3.75,da4052,5.0,3.75,0.132,0.85,18.957
da4052 5.0x3.75,da4052,5.0,3.75,0.1038,0.9,18.64
da4052 5.0x3.75,da4052,5.0,3.75,0.0735,0.95,18.466
da4052 5.0x3.75,da4052,5.0,3.75,0.0162,1.0,15.278
da4052 9.0x6.75,da4052,9.0,6.75,0.1201,0.15,43.597
da4052 9.0x6.75,da4052,9.0,6.75,0.1458,0.2,44.647
da4052 9.0x6.75,da4052,9.0,6.75,0.2626,0.25,40.856
da4052 9.0x6.75,da4052,9.0,6.75,0.3494,0.3,38.623
da4052 9.0x6.75,da4052,9.0,6.75,0.3712,0.35,35.889
da4052 9.0x6.75,da4052,9.0,6.75,0.3644,0.4,32.831
da4052 9.0x6.75,da4052,9.0,6.75,0.3487,0.45,30.158
da4052 9.0x6.75,da4052,9.0,6.75,0.3267,0.5,28.126
da4052 9.0x6.75,da4052,9.0,6.75,0.2974,0.55,26.423
da4052 9.0x6.75,da4052,9.0,6.75,0.2645,0.6,24.606
da4052 9.0x6.75,da4052,9.0,6.75,0.2345,0.65,22.675
da4052 9.0x6.75,da4052,9.0,6.75,0.209,0.7,21.162
da4052 9.0x6.75,da4052,9.0,6.75,0.185,0.75,20.031
da4052 9.0x6.75,da4052,9.0,6.75,0.1597,0.8,19.09
da4052 9.0x6.75,da4052,9.0,6.75,0.1326,0.85,18.222
da4052 9.0x6.75,da4052,9.0,6.75,0.104,0.9,17.376
da4052 9.0x6.75,da4052,9.0,6.75,0.074,0.95,16.81
da4052 9.0x6.75,da4052,9.0,6.75,0.015,1.0,12.073
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1085,0.15,45.183
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1265,0.2,40.121
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1447,0.25,34.815
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.162,0.3,30.077
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1768,0.35,26.358
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.187,0.4,23.644
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1922,0.45,21.829
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1924,0.5,20.462
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1879,0.55,19.262
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1805,0.6,18.146
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1712,0.65,17.059
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1607,0.7,16.002
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1494,0.75,15.041
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1369,0.8,13.964
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1235,0.85,12.629
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.1098,0.9,11.234
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.0908,0.95,8.893
ef 130.0x70.0,ef,5.118110236220473,2.7559055118110236,0.0389,1.0,1.758
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3088,0.15,15.523
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3279,0.2,16.157
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3301,0.25,16.544
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3292,0.3,16.32
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3264,0.35,15.642
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3239,0.4,14.684
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3236,0.45,13.44
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3233,0.5,12.179
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3221,0.55,11.059
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3207,0.6,10.093
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3194,0.65,9.237
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3183,0.7,8.534
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3173,0.75,7.869
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3158,0.8,7.353
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3147,0.85,6.956
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3098,0.9,6.593
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.2631,0.95,5.636
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.06,1.0,2.91
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3176,0.15,15.947
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3367,0.2,15.916
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3383,0.25,16.01
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3379,0.3,15.843
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3369,0.35,15.373
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3357,0.4,14.543
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3342,0.45,13.531
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3327,0.5,12.358
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.331,0.55,11.235
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3295,0.6,10.201
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3283,0.65,9.359
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3277,0.7,8.667
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.327,0.75,8.069
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3259,0.8,7.613
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3253,0.85,7.244
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3216,0.9,6.725
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.2866,0.95,6.095
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.1008,1.0,1.749
gwsdd 2.5x0.8,gwsdd,2.5,0.8,0.3225,0.15,16.67
